TimeStamp,Total Particles (ug/m^3),PM10 particles (ug/m^3),PM2.5 particles (ug/m^3),PM1 particles (ug/m^3),Temperature (Celcius),Humidity (% RH)
17/01/2019 0:15,15.6,8.6,3.55,1.77,7.6,7.6
17/01/2019 0:30,15.9,8.2,3.78,1.85,7.6,7.6
17/01/2019 0:45,14.1,8.8,4.52,2.24,7.6,7.6
17/01/2019 1:00,14.2,9,4.79,2.35,7.6,7.6
17/01/2019 1:15,16.1,9.9,5.15,2.6,7.6,7.6
17/01/2019 1:30,17.9,10.3,5.41,2.6,7.6,7.6
17/01/2019 1:45,16.4,10.9,6.23,3.26,7.6,7.6
17/01/2019 2:00,16.5,11.4,6.96,3.74,7.6,7.6
17/01/2019 2:15,17.1,11.6,6.51,3.32,7.6,7.6
17/01/2019 2:30,19.8,13.1,7.64,4.02,7.6,7.6
17/01/2019 2:45,17.8,12.6,6.95,3.51,7.6,7.6
17/01/2019 3:00,19.3,11.8,5.52,2.51,7.6,7.6
17/01/2019 3:15,19.8,11.7,5.94,2.99,7.6,7.6
17/01/2019 3:30,19.4,12.7,6.36,3.28,7.6,7.6
17/01/2019 3:45,25.9,16.1,8.6,4.79,7.6,7.6
17/01/2019 4:00,29.3,19.4,11,6.54,7.6,7.6
17/01/2019 4:15,29.8,18.9,10.2,5.81,7.6,7.6
17/01/2019 4:30,33,21.1,11.25,6.48,7.6,7.6
17/01/2019 4:45,35.3,22,11.33,6.42,7.6,7.6
17/01/2019 5:00,35,20.6,9.84,5.34,7.6,7.6
17/01/2019 5:15,31.4,18.2,8.21,4.27,7.6,7.6
17/01/2019 5:30,35,20.4,8.39,4.12,7.6,7.6
17/01/2019 5:45,31.5,19.4,8.24,4.09,7.6,7.6
17/01/2019 6:00,28.9,17.4,7.92,3.99,7.6,7.6
17/01/2019 6:15,31.4,19.9,8.63,4.36,7.6,7.6
17/01/2019 6:30,45.7,29.5,15.5,8.48,7.6,7.6
17/01/2019 6:45,57.3,38.2,23.31,13.9,7.6,7.6
17/01/2019 7:00,56.2,35.7,17.55,9.73,7.6,7.6
17/01/2019 7:15,62.2,36.3,14.81,7.39,7.6,7.6
17/01/2019 7:30,58.3,32.1,12.31,6.05,7.6,7.6
17/01/2019 7:45,44.5,24,9.6,4.81,7.6,7.6
17/01/2019 8:00,39.8,22.9,10.16,5.41,7.6,7.6
17/01/2019 8:15,38.3,22.9,10.01,5.33,7.6,7.6
17/01/2019 8:30,54.2,30.6,10.94,5.42,7.6,7.6
17/01/2019 8:45,29.7,18.2,8.18,4.43,7.6,7.6
17/01/2019 9:00,31.5,17.4,7.2,3.7,7.6,7.6
17/01/2019 9:15,35.9,19,7.15,3.58,7.6,7.6
17/01/2019 9:30,29.5,15.9,6.1,3.1,7.6,7.6
17/01/2019 9:45,23.9,13.5,5.01,2.45,7.6,7.6
17/01/2019 10:00,14.2,8.7,4.48,2.33,7.6,7.6
17/01/2019 10:15,17.4,10.1,4.35,2.13,7.6,7.6
17/01/2019 10:30,16.7,9,4.34,2.08,7.6,7.6
17/01/2019 10:45,21.5,10.7,4.65,2.19,7.6,7.6
17/01/2019 11:00,14.1,8.1,4.28,2.03,7.6,7.6
17/01/2019 11:15,20.5,11.5,4.75,2.05,7.6,7.6
17/01/2019 11:30,13.6,8.2,4.2,1.92,7.6,7.6
17/01/2019 11:45,15.7,8.9,4.5,2.03,7.6,7.6
17/01/2019 12:00,15.5,8.3,4.44,2,7.6,7.6
17/01/2019 12:15,18.5,10.4,4.88,2.13,7.6,7.6
17/01/2019 12:30,16.6,9.6,4.61,2.1,7.6,7.6
17/01/2019 12:45,19,10.3,4.69,2.08,7.6,7.6
17/01/2019 13:00,19.6,10.9,4.84,2.14,7.6,7.6
