,postcode,easting,northing,Unnamed: 0,price,date,type,seconds,years
15321905,S23AL,435883,384824,22625175,121000,2017-05-19 00:00,S,1495148400.0,2017.0
15603127,S80JF,434586,383066,20660705,130000,2015-12-14 00:00,T,1450051200.0,2015.0
15536605,S71DU,434640,385107,12866331,125000,2006-04-05 00:00,D,1144191600.0,2006.0
15538137,S71NX,434199,385281,13748464,26000,2007-12-03 00:00,S,1196640000.0,2007.0
15286207,S119DX,433037,385220,18562065,279995,2013-11-28 00:00,F,1385596800.0,2013.0
15612250,S88TG,434777,383578,6742531,15000,2001-10-09 00:00,T,1002582000.0,2001.0
15603772,S80NS,434316,383583,21228296,160000,2016-09-29 00:00,T,1475103600.0,2016.0
15615311,S89QZ,435671,384565,11494170,249950,2005-12-21 00:00,D,1135123200.0,2005.0
15604250,S80PL,434540,383608,24294627,115000,2019-03-29 00:00,T,1553817600.0,2019.0
15538394,S71RH,434200,384637,8629741,165000,2002-07-23 00:00,D,1027378800.0,2002.0
15305547,S141GB,436748,383013,21249303,87500,2016-08-15 00:00,T,1471215600.0,2016.0
15322461,S23GL,435840,385282,8460103,42000,2002-01-09 00:00,T,1010534400.0,2002.0
15323422,S23LR,436246,385081,22805743,110000,2017-08-17 00:00,T,1502924400.0,2017.0
15286215,S119DX,433037,385220,19439307,249995,2014-04-17 00:00,F,1397689200.0,2014.0
15323996,S23SP,436472,385536,15025149,135000,2008-06-12 00:00,F,1213225200.0,2008.0
15539680,S72DE,434144,384045,6891130,50000,2001-04-26 00:00,T,988239600.0,2001.0
15604811,S80RW,434724,383621,7700826,59950,2002-01-25 00:00,T,1011916800.0,2002.0
15284523,S118XG,433499,385510,21451159,297500,2016-12-13 00:00,T,1481587200.0,2016.0
15285465,S119AW,433468,385285,20927523,575000,2015-01-06 00:00,D,1420502400.0,2015.0
15615317,S89QZ,435671,384565,16161892,95000,2009-07-24 00:00,S,1248390000.0,2009.0
15612028,S88SZ,434912,383319,20874598,130000,2015-07-24 00:00,T,1437692400.0,2015.0
15540466,S72GG,433286,383747,15888718,207000,2009-07-01 00:00,S,1246402800.0,2009.0
15613940,S89HB,435491,384338,19546791,126000,2014-05-14 00:00,T,1400022000.0,2014.0
15286188,S119DW,433013,385179,20194026,399995,2015-04-02 00:00,T,1427929200.0,2015.0
15536985,S71GJ,434607,385015,12886510,126000,2006-06-30 00:00,T,1151622000.0,2006.0
15615399,S89RF,435346,384667,11365101,154000,2005-08-05 00:00,T,1123196400.0,2005.0
15603053,S80HY,434076,383220,23209506,285000,2018-07-11 00:00,D,1531263600.0,2018.0
15286125,S119DR,433668,384849,17648544,150000,2012-11-09 00:00,F,1352419200.0,2012.0
15285016,S118YJ,433884,385687,24227886,285000,2019-04-10 00:00,S,1554850800.0,2019.0
15602402,S80GG,434443,382732,22956611,340000,2017-06-16 00:00,D,1497567600.0,2017.0
15541531,S72QN,433440,383213,10320112,260000,2004-03-03 00:00,D,1078272000.0,2004.0
15605385,S80UT,434409,384371,19867591,110000,2014-08-26 00:00,T,1409007600.0,2014.0
15325509,S24TE,435082,385747,17663752,141000,2012-11-29 00:00,T,1354147200.0,2012.0
15610793,S88PS,435685,382844,22996207,380100,2017-11-03 00:00,D,1509667200.0,2017.0
15611588,S88RQ,434975,382834,8760042,118000,2002-08-07 00:00,S,1028674800.0,2002.0
15536463,S71DN,434677,385397,6974920,110000,2001-12-28 00:00,D,1009497600.0,2001.0
15612306,S89AD,435073,384749,15156330,121950,2008-07-15 00:00,F,1216076400.0,2008.0
15286156,S119DS,433754,384854,10869379,215000,2004-05-28 00:00,F,1085698800.0,2004.0
15285404,S119AQ,433706,385383,17530677,154000,2011-06-17 00:00,F,1308265200.0,2011.0
15539772,S72DF,434164,384067,13605861,160000,2006-10-30 00:00,S,1162166400.0,2006.0
15537626,S71LB,434691,385642,14895240,150000,2007-09-03 00:00,T,1188774000.0,2007.0
15538806,S71SB,433971,384887,6709820,85000,2001-07-20 00:00,T,995583600.0,2001.0
15612203,S88TD,434924,383420,15527934,115000,2008-05-16 00:00,T,1210892400.0,2008.0
15603244,S80JL,434684,382935,23707418,177000,2018-07-31 00:00,T,1532991600.0,2018.0
15540580,S72GP,433171,383783,12564333,275000,2006-05-11 00:00,D,1147302000.0,2006.0
15305044,S141AG,436725,382620,8563593,49950,2002-06-28 00:00,T,1025218800.0,2002.0
15602265,S80EZ,433627,382789,20140764,350000,2015-10-19 00:00,D,1445209200.0,2015.0
15602648,S80GS,434653,382732,17241269,166000,2011-09-30 00:00,S,1317337200.0,2011.0
15325029,S24HJ,435219,385292,11749558,120000,2005-03-29 00:00,T,1112050800.0,2005.0
15322917,S23HG,436116,385001,14373820,194995,2007-09-06 00:00,T,1189033200.0,2007.0
15610822,S88PU,435630,382768,17871043,127000,2012-01-27 00:00,S,1327622400.0,2012.0
15603401,S80ND,434280,383379,7155897,49000,2001-11-02 00:00,S,1004659200.0,2001.0
15604539,S80RA,434693,383567,13246471,135000,2006-07-11 00:00,T,1152572400.0,2006.0
15614705,S89NL,435418,383799,6974394,67950,2001-05-25 00:00,S,990745200.0,2001.0
15604564,S80RA,434693,383567,18218856,116000,2013-06-27 00:00,T,1372287600.0,2013.0
15538431,S71RJ,434151,384600,11431627,150000,2005-11-17 00:00,D,1132185600.0,2005.0
15285001,S118YJ,433884,385687,18321801,180000,2013-12-06 00:00,T,1386288000.0,2013.0
15285202,S118ZL,433496,385763,16755485,180000,2010-12-06 00:00,T,1291593600.0,2010.0
15611580,S88RN,435299,382749,14305450,175000,2007-10-16 00:00,S,1192489200.0,2007.0
15283687,S118TW,433121,385619,19747795,217500,2014-05-23 00:00,T,1400799600.0,2014.0
15324103,S23SX,436366,385523,15371413,137650,2008-11-10 00:00,T,1226275200.0,2008.0
15286800,S119GA,433126,384242,6988091,96500,2001-01-26 00:00,S,980467200.0,2001.0
15325340,S24RR,435280,385883,14887542,115000,2007-05-30 00:00,F,1180479600.0,2007.0
15283759,S118TZ,433005,385346,6772311,98000,2001-07-02 00:00,T,994028400.0,2001.0
15281796,S118FQ,434431,385971,7978584,51000,2002-10-18 00:00,T,1034895600.0,2002.0
15604932,S80SF,434831,382909,15985572,25000,2009-03-31 00:00,T,1238454000.0,2009.0
15325599,S24UF,435329,385735,8060665,46500,2002-05-23 00:00,T,1022108400.0,2002.0
15538285,S71PH,433899,384996,17433118,135101,2011-11-24 00:00,T,1322092800.0,2011.0
15284915,S118YE,433681,385671,23634627,239000,2018-06-29 00:00,T,1530226800.0,2018.0
15612342,S89BB,435231,383821,6902375,130000,2001-06-05 00:00,D,991695600.0,2001.0
15539224,S72AY,434242,383960,16197588,19500,2009-07-23 00:00,F,1248303600.0,2009.0
15322942,S23HG,436116,385001,16125690,93000,2009-05-11 00:00,F,1241996400.0,2009.0
15537178,S71GW,434314,384808,7772972,90000,2002-01-10 00:00,T,1010620800.0,2002.0
15322032,S23AW,435859,384593,20743527,133000,2015-01-05 00:00,S,1420416000.0,2015.0
15539262,S72BE,434351,384343,9625188,89950,2003-12-12 00:00,T,1071187200.0,2003.0
15283252,S118RY,433125,385961,6297922,68250,2001-05-04 00:00,S,988930800.0,2001.0
15601913,S80ED,433302,382374,21702668,380000,2016-02-12 00:00,D,1455235200.0,2016.0
15281536,S118BJ,434566,385849,16227539,35000,2010-10-01 00:00,T,1285887600.0,2010.0
15539792,S72DF,434164,384067,18676947,109000,2013-03-01 00:00,T,1362096000.0,2013.0
15537012,S71GL,434574,385003,14004439,135500,2007-06-14 00:00,T,1181775600.0,2007.0
15605634,S80ZQ,435041,385303,14278274,83950,2007-09-14 00:00,F,1189724400.0,2007.0
15613059,S89EB,434663,384161,13083048,148000,2006-06-20 00:00,T,1150758000.0,2006.0
15603277,S80JR,434151,383786,21812212,856397,2016-12-12 00:00,O,1481500800.0,2016.0
15539391,S72BN,433834,383704,19081300,284950,2014-08-22 00:00,F,1408662000.0,2014.0
15614876,S89NX,435510,383467,11735062,156000,2005-04-29 00:00,S,1114729200.0,2005.0
15611157,S88QJ,434939,382961,12106131,95000,2005-01-21 00:00,T,1106265600.0,2005.0
15282513,S118NL,433864,385944,12246425,181000,2005-05-10 00:00,T,1115679600.0,2005.0
15540529,S72GL,433419,383732,8265487,132000,2002-12-19 00:00,S,1040256000.0,2002.0
15284896,S118YE,433681,385671,15357197,193000,2008-09-02 00:00,T,1220310000.0,2008.0
15609937,S88HF,436305,382167,14580534,105000,2007-07-17 00:00,F,1184626800.0,2007.0
